State,Denominator,Prevalence,Lower CI,Upper CI,Year,Source,Source_Full1,State_Full1,State_Full2,Numerator_ASD,Numerator_NonASD,Proportion,95_Z_CI,Z_Lower CI,Z_Upper CI,Z_Lower CI_ABSerror,Z_Upper CI_ABSerror,Chi_Wilson_P,95_Chi_Wilson_CI,Chi_Wilson_Lower CI,Chi_Wilson_Upper CI,Chi_Wilson_Lower CI_ABSerror,Chi_Wilson_Upper CI_ABSerror,Chi_Wilson_Corrected_w_minus CI,Chi_Wilson_Corrected_w_plus CI,Chi_Wilson_Corrected_Lower CI,Chi_Wilson_Corrected_Upper CI,Chi_Wilson_Corrected_Lower CI_ABSerror,Chi_Wilson_Corrected_Upper CI_ABSerror,Male Prevalence,Male Lower CI,Male Upper CI,Female Prevalence,Female Lower CI,Female Upper CI,Non-hispanic white Prevalence,Non-hispanic white Lower CI,Non-hispanic white Upper CI,Non-hispanic black Prevalence,Non-hispanic black Lower CI,Non-hispanic black Upper CI,Hispanic Prevalence,Hispanic Lower CI,Hispanic Upper CI,Asian or Pacific Islander Prevalence,Asian or Pacific Islander Lower CI,Asian or Pacific Islander Upper CI
HI,168899,7.3,6.9,7.7,2014,sped,Special Education Child Count,Hawaii,HI-Hawaii,1233,167666,0.007300221,0.000405986,6.894234416,7.706207268,0.005765584,0.006207268,0.007311427,0.000406136,6.90529018,7.717563038,0.00529018,0.017563038,0.006902412,0.007720605,6.902411585,7.720604989,0.002411585,0.020604989,,,,,,,,,,,,,,,,,,
ID,266586,8.5,8.1,8.8,2014,sped,Special Education Child Count,Idaho,ID-Idaho,2266,264320,0.008500071,0.000348487,8.151583897,8.848558647,0.051583897,0.048558647,0.008507154,0.000348557,8.158596775,8.855710424,0.058596775,0.055710424,0.008156759,0.008857624,8.156759346,8.857624072,0.056759346,0.057624072,,,,,,,,,,,,,,,,,,
IL,1831161,9.8,9.7,10,2014,sped,Special Education Child Count,Illinois,IL-Illinois,17945,1813216,0.009799794,0.000142677,9.65711641,9.942470955,0.04288359,0.057529045,0.009800822,0.000142681,9.658141207,9.943502865,0.041858793,0.056497135,0.00965787,0.009943778,9.657870125,9.943777883,0.042129875,0.056222117,,,,,,,,,,,,,,,,,,
IN,949973,13.3,13.1,13.6,2014,sped,Special Education Child Count,Indiana,IN-Indiana,12635,937338,0.013300378,0.000230365,13.07001278,13.53074324,0.029987221,0.069256758,0.013302346,0.000230373,13.07197292,13.53271927,0.028027076,0.06728073,0.013071451,0.01353325,13.07145109,13.5332501,0.028548908,0.066749905,,,,,,,,,,,,,,,,,,
IA,436504,1.4,1.3,1.5,2014,sped,Special Education Child Count,Iowa,IA-Iowa,611,435893,0.001399758,0.000110911,1.288846649,1.510669507,0.011153351,0.010669507,0.001404146,0.000110998,1.293148272,1.515143682,0.006851728,0.015143682,0.001292048,0.001516334,1.292048108,1.516334409,0.007951892,0.016334409,,,,,,,,,,,,,,,,,,
KS,434554,7.3,7,7.6,2014,sped,Special Education Child Count,Kansas,KS-Kansas,3172,431382,0.007299438,0.000253093,7.046345086,7.552531003,0.046345086,0.047468997,0.007303793,0.000253129,7.050664168,7.556922794,0.050664168,0.043077206,0.007049533,0.007558093,7.049533371,7.558093185,0.049533371,0.041906815,,,,,,,,,,,,,,,,,,
KY,608929,8,7.7,8.2,2014,sped,Special Education Child Count,Kentucky,KY-Kentucky,4871,604058,0.007999291,0.000223741,7.775549086,8.223032029,0.075549086,0.023032029,0.008002394,0.000223762,7.778632056,8.226156642,0.078632056,0.026156642,0.007777822,0.008226989,7.777822337,8.22698914,0.077822337,0.02698914,,,,,,,,,,,,,,,,,,
LA,632481,6.1,5.9,6.3,2014,sped,Special Education Child Count,Louisiana,LA-Louisiana,3858,628623,0.006099788,0.00019189,5.907897639,6.291678317,0.007897639,0.008321683,0.006102788,0.000191913,5.910874527,6.294700931,0.010874527,0.005299069,0.005910096,0.006295504,5.910096351,6.29550382,0.010096351,0.00449618,,,,,,,,,,,,,,,,,,
ME,164158,15.2,14.6,15.8,2014,sped,Special Education Child Count,Maine,ME-Maine,2495,161663,0.015198772,0.000591828,14.60694378,15.79060005,0.006943784,0.009399954,0.015210116,0.00059193,14.61818655,15.8020464,0.018186547,0.002046403,0.014615199,0.015805151,14.61519915,15.80515055,0.015199149,0.005150549,,,,,,,,,,,,,,,,,,
MD,777929,11.3,11.1,11.6,2014,sped,Special Education Child Count,Maryland,MD-Maryland,8791,769138,0.011300517,0.000234887,11.0656299,11.53540438,0.034370097,0.064595619,0.01130293,0.000234899,11.0680313,11.53782941,0.031968698,0.062170588,0.011067395,0.011538479,11.06739518,11.53847874,0.032604824,0.061521256,,,,,,,,,,,,,,,,,,
MA,858611,15.5,15.2,15.7,2014,sped,Special Education Child Count,Massachusetts,MA-Massachusetts,13308,845303,0.015499452,0.000261286,15.23816609,15.76073795,0.038166094,0.06073795,0.01550162,0.000261294,15.24032535,15.76291402,0.040325352,0.062914021,0.015239748,0.015763501,15.23974785,15.76350119,0.039747849,0.063501185,,,,,,,,,,,,,,,,,,
MI,1383880,10.3,10.1,10.5,2014,sped,Special Education Child Count,Michigan,MI-Michigan,14254,1369626,0.010300026,0.000168217,10.13180904,10.46824299,0.03180904,0.031757013,0.010301385,0.000168222,10.13316312,10.46960758,0.033163117,0.030392419,0.010132805,0.010469972,10.13280473,10.4699718,0.032804735,0.030028197,,,,,,,,,,,,,,,,,,
MN,777804,18.4,18.1,18.7,2014,sped,Special Education Child Count,Minnesota,MN-Minnesota,14312,763492,0.018400522,0.000298673,18.10184999,18.699195,0.001849993,0.000805,0.018402901,0.000298681,18.1042198,18.70158227,0.004219797,0.00158227,0.018103582,0.01870223,18.10358208,18.70223022,0.003582084,0.002230221,,,,,,,,,,,,,,,,,,
MS,438190,7.9,7.7,8.2,2014,sped,Special Education Child Count,Mississippi,MS-Mississippi,3462,434728,0.007900682,0.000262136,7.638546311,8.162818393,0.061453689,0.037181607,0.007904996,0.00026217,7.642825989,8.167166766,0.057174011,0.032833234,0.007641704,0.008168327,7.641703719,8.168326588,0.058296281,0.031673412,,,,,,,,,,,,,,,,,,
MO,817879,10.8,10.6,11.1,2014,sped,Special Education Child Count,Missouri,MO-Missouri,8833,809046,0.010799886,0.000224004,10.57588233,11.02388977,0.024117672,0.076110235,0.010802184,0.000224015,10.57816876,11.02619871,0.021831239,0.073801286,0.010577564,0.011026816,10.5775637,11.02681632,0.022436303,0.073183681,,,,,,,,,,,,,,,,,,
MT,131621,4.4,4,4.8,2014,sped,Special Education Child Count,Montana,MT-Montana,579,131042,0.004398994,0.000357524,4.04147037,4.756517793,0.04147037,0.043482207,0.004413458,0.000357811,4.055647191,4.771269111,0.055647191,0.028730889,0.004052002,0.004775221,4.052002106,4.775221309,0.052002106,0.024778691,,,,,,,,,,,,,,,,,,
NE,273431,9.5,9.1,9.8,2014,sped,Special Education Child Count,Nebraska,NE-Nebraska,2598,270833,0.009501483,0.000363619,9.137863789,9.865102225,0.037863789,0.065102225,0.009508374,0.000363682,9.144692018,9.872055925,0.044692018,0.072055925,0.009142898,0.009873919,9.142898078,9.87391916,0.042898078,0.07391916,,,,,,,,,,,,,,,,,,
NV,419082,11.1,10.8,11.4,2014,sped,Special Education Child Count,Nevada,NV-Nevada,4652,414430,0.011100453,0.000317209,10.78324424,11.41766155,0.016755758,0.017661547,0.011104934,0.000317239,10.78769543,11.42217314,0.012304567,0.022173139,0.010786519,0.011423383,10.78651921,11.42338306,0.013480786,0.023383065,,,,,,,,,,,,,,,,,,
NH,169433,12.3,11.7,12.8,2014,sped,Special Education Child Count,New Hampshire,NH-New Hampshire,2084,167349,0.012299847,0.000524821,11.77502577,12.8246685,0.07502577,0.024668504,0.012310904,0.000524932,11.78597235,12.83583612,0.085972354,0.03583612,0.011783084,0.012838849,11.78308356,12.83884923,0.083083564,0.038849227,,,,,,,,,,,,,,,,,,
NJ,1194487,12.7,12.5,12.9,2014,sped,Special Education Child Count,New Jersey,NJ-New Jersey,15170,1179317,0.012700013,0.000200809,12.49920325,12.90082203,0.00079675,0.000822033,0.01270158,0.000200815,12.50076461,12.90239497,0.000764605,0.002394972,0.012500349,0.012902817,12.50034928,12.90281683,0.000349283,0.002816827,,,,,,,,,,,,,,,,,,
NM,305701,6.8,6.5,7.1,2014,sped,Special Education Child Count,New Mexico,NM-New Mexico,2079,303622,0.006800763,0.000291338,6.509425152,7.092100522,0.009425152,0.007899478,0.00680696,0.000291402,6.515558567,7.098362099,0.015558567,0.001637901,0.006513958,0.007100032,6.51395779,7.100032446,0.01395779,3.24462E-05,,,,,,,,,,,,,,,,,,
NY,2435476,10.9,10.8,11,2014,sped,Special Education Child Count,New York,NY-New York,26547,2408929,0.010900128,0.000130404,10.76972361,11.03053228,0.030276395,0.030532279,0.010900899,0.000130407,10.77049288,11.03130591,0.029507121,0.03130591,0.010770289,0.011031512,10.7702888,11.03151242,0.029711205,0.031512423,,,,,,,,,,,,,,,,,,
NC,1396051,10,9.8,10.2,2014,sped,Special Education Child Count,North Carolina,NC-North Carolina,13961,1382090,0.010000351,0.000165053,9.835298306,10.16540367,0.035298306,0.034596326,0.010001699,0.000165058,9.836641335,10.16675726,0.036641335,0.033242737,0.009836286,0.010167118,9.836286109,10.16711834,0.036286109,0.032881659,,,,,,,,,,,,,,,,,,
ND,95492,8.3,7.7,8.9,2014,sped,Special Education Child Count,North Dakota,ND-North Dakota,793,94699,0.008304361,0.000575582,7.728778981,8.879942168,0.028778981,0.020057832,0.00832414,0.00057591,7.748229979,8.900049512,0.048229979,4.95122E-05,0.007743174,0.008905465,7.743173998,8.905465134,0.043173998,0.005465134,,,,,,,,,,,,,,,,,,
OH,1564662,11.2,11.1,11.4,2014,sped,Special Education Child Count,Ohio,OH-Ohio,17524,1547138,0.011199863,0.000164892,11.03497141,11.36475454,0.06502859,0.035245463,0.011201063,0.000164896,11.03616731,11.36595877,0.063832687,0.03404123,0.01103585,0.011366281,11.03585008,11.36628065,0.064149918,0.033719347,,,,,,,,,,,,,,,,,,
OK,589376,7.5,7.3,7.7,2014,sped,Special Education Child Count,Oklahoma,OK-Oklahoma,4420,584956,0.007499457,0.000220258,7.279198818,7.719715288,0.020801182,0.019715288,0.007502667,0.000220281,7.282386164,7.72294798,0.017613836,0.02294798,0.00728155,0.007723809,7.281550178,7.723808691,0.018449822,0.023808691,,,,,,,,,,,,,,,,,,
OR,529212,14.5,14.2,14.8,2014,sped,Special Education Child Count,Oregon,OR-Oregon,7674,521538,0.014500805,0.000322075,14.17872965,14.82288029,0.021270346,0.022880287,0.014504329,0.000322093,14.18223567,14.82642253,0.017764327,0.026422527,0.014181301,0.014827378,14.18130122,14.82737766,0.018698784,0.027377658,,,,,,,,,,,,,,,,,,
PA,1607656,15,14.8,15.1,2014,sped,Special Education Child Count,Pennsylvania,PA-Pennsylvania,24115,1583541,0.0150001,0.000187896,14.81220389,15.18799516,0.012203889,0.087995159,0.015001258,0.000187899,14.81335943,15.1891574,0.013359433,0.089157402,0.01481305,0.01518947,14.81305034,15.18947033,0.01305034,0.089470332,,,,,,,,,,,,,,,,,,
RI,129705,14.4,13.8,15.1,2014,sped,Special Education Child Count,Rhode Island,RI-Rhode Island,1868,127837,0.014401912,0.00064838,13.75353184,15.05029222,0.046468155,0.049707782,0.014416294,0.00064853,13.76776345,15.06482357,0.032236552,0.035176426,0.013763994,0.015068764,13.76399415,15.06876384,0.036005852,0.031236163,,,,,,,,,,,,,,,,,,
SC,673967,8,7.8,8.2,2014,sped,Special Education Child Count,South Carolina,SC-South Carolina,5392,668575,0.008000392,0.000212687,7.7877051,8.213078321,0.0122949,0.013078321,0.008003196,0.000212704,7.79049149,8.215900472,0.00950851,0.015900472,0.007789759,0.008216652,7.789759399,8.216652124,0.010240601,0.016652124,,,,,,,,,,,,,,,,,,
SD,118485,6.6,6.2,7.1,2014,sped,Special Education Child Count,South Dakota,SD-South Dakota,782,117703,0.006599992,0.000461052,6.13893928,7.06104384,0.06106072,0.03895616,0.006615988,0.000461322,6.154665576,7.077310022,0.045334424,0.022689978,0.006150592,0.007081676,6.150592114,7.081676125,0.049407886,0.018323875,,,,,,,,,,,,,,,,,,
TN,894603,8.1,7.9,8.2,2014,sped,Special Education Child Count,Tennessee,TN-Tennessee,7246,887357,0.008099682,0.000185738,7.913944139,8.285420272,0.013944139,0.085420272,0.008101794,0.00018575,7.916044757,8.287544112,0.016044757,0.087544112,0.007915492,0.008288109,7.915492208,8.288109372,0.015492208,0.088109372,,,,,,,,,,,,,,,,,,
TX,4601387,8.9,8.9,9,2014,sped,Special Education Child Count,Texas,TX-Texas,40952,4560435,0.008899925,8.58135E-05,8.814111669,8.98573868,0.085888331,0.01426132,0.008900335,8.58144E-05,8.814520719,8.986149617,0.085479281,0.013850383,0.008814413,0.008986259,8.814412576,8.986258799,0.085587424,0.013741201,,,,,,,,,,,,,,,,,,
UT,573594,7.9,7.6,8.1,2014,sped,Special Education Child Count,Utah,UT-Utah,4531,569063,0.007899316,0.000229096,7.670219074,8.128412013,0.070219074,0.028412013,0.007902611,0.000229119,7.673491799,8.131730612,0.073491799,0.031730612,0.007672633,0.008132615,7.672632647,8.132614841,0.072632647,0.032614841,,,,,,,,,,,,,,,,,,
VT,75559,11.3,10.6,12.1,2014,sped,Special Education Child Count,Vermont,VT-Vermont,854,74705,0.011302426,0.000753742,10.54868419,12.05616765,0.051315809,0.043832353,0.01132727,0.000754132,10.57313837,12.08140221,0.026861626,0.018597785,0.010566739,0.012088237,10.56673939,12.08823718,0.033260609,0.011762816,,,,,,,,,,,,,,,,,,
VA,1153689,12.5,12.3,12.7,2014,sped,Special Education Child Count,Virginia,VA-Virginia,14421,1139268,0.012499902,0.000202734,12.29716895,12.70263603,0.002831052,0.002636026,0.012501526,0.00020274,12.29878602,12.70426542,0.00121398,0.004265419,0.012298356,0.012704702,12.2983561,12.70470228,0.001643901,0.004702279,,,,,,,,,,,,,,,,,,
WA,979763,9.9,9.7,10.1,2014,sped,Special Education Child Count,Washington,WA-Washington,9700,970063,0.009900353,0.000196043,9.704309985,10.09639692,0.004309985,0.003603079,0.009902275,0.000196053,9.706222529,10.09832753,0.006222529,0.001672469,0.009705717,0.010098843,9.705717206,10.09884286,0.005717206,0.001157142,,,,,,,,,,,,,,,,,,
WV,244197,6.7,6.4,7.1,2014,sped,Special Education Child Count,West Virginia,WV-West Virginia,1636,242561,0.006699509,0.000323549,6.375960242,7.023057764,0.024039758,0.076942236,0.006707269,0.000323639,6.383629721,7.030908244,0.016370279,0.069091756,0.006381631,0.007033005,6.381631323,7.033004828,0.018368677,0.066995172,,,,,,,,,,,,,,,,,,
WI,755177,12.2,11.9,12.4,2014,sped,Special Education Child Count,Wisconsin,WI-Wisconsin,9213,745964,0.012199789,0.000247591,11.95219817,12.44737968,0.052198166,0.047379682,0.01220227,0.000247603,11.95466771,12.44987283,0.054667707,0.049872831,0.011954012,0.012450542,11.95401225,12.45054156,0.054012249,0.050541559,,,,,,,,,,,,,,,,,,
AL,674946,8.6,8.4,8.8,2015,sped,Special Education Child Count,Alabama,AL-Alabama,5805,669141,0.008600688,0.000220295,8.380393135,8.820982975,0.019606865,0.020982975,0.008603485,0.000220312,8.383172795,8.823796887,0.016827205,0.023796887,0.008382441,0.008824547,8.382441404,8.824547086,0.017558596,0.024547086,,,,,,,,,,,,,,,,,,
AK,118699,9.4,8.8,9.9,2015,sped,Special Education Child Count,Alaska,AK-Alaska,1116,117583,0.009401933,0.000549012,8.852920583,9.950944656,0.052920583,0.050944656,0.009417809,0.000549233,8.868576667,9.96704202,0.068576667,0.06704202,0.008864486,0.009971376,8.864486245,9.971375967,0.064486245,0.071375967,,,,,,,,,,,,,,,,,,
AZ,1020723,9.8,9.6,10,2015,sped,Special Education Child Count,Arizona,AZ-Arizona,10003,1010720,0.009799916,0.000191103,9.608813642,9.991019025,0.008813642,0.008980975,0.009801761,0.000191111,9.610649943,9.992872416,0.010649943,0.007127584,0.009610165,0.009993367,9.610164825,9.993366992,0.010164825,0.006633008,,,,,,,,,,,,,,,,,,
AR,438292,8.9,8.7,9.2,2015,sped,Special Education Child Count,Arkansas,AR-Arkansas,3901,434391,0.008900459,0.000278055,8.622403766,9.178514343,0.077596234,0.021485657,0.008904763,0.000278087,8.62667593,9.182850696,0.07332407,0.017149304,0.008625553,0.009184009,8.625552806,9.184009135,0.074447194,0.015990865,,,,,,,,,,,,,,,,,,
CA,5689474,12.9,12.8,13,2015,sped,Special Education Child Count,California,CA-California,73394,5616080,0.012899962,9.27229E-05,12.80723942,12.99268515,0.007239417,0.007314855,0.012900291,9.27234E-05,12.80756775,12.99301458,0.007567749,0.00698542,0.01280748,0.012993103,12.80748018,12.99310277,0.007480179,0.006897226,,,,,,,,,,,,,,,,,,
CO,802257,6.8,6.6,7,2015,sped,Special Education Child Count,Colorado,CO-Colorado,5455,796802,0.006799567,0.000179825,6.619741584,6.979391861,0.019741584,0.020608139,0.006801928,0.00017984,6.622088096,6.981768524,0.022088096,0.018231476,0.006621473,0.0069824,6.621473041,6.982399947,0.021473041,0.017600053,,,,,,,,,,,,,,,,,,
CT,482907,14.7,14.4,15,2015,sped,Special Education Child Count,Connecticut,CT-Connecticut,7099,475808,0.014700553,0.000339443,14.36110976,15.03999645,0.038890236,0.039996453,0.014704414,0.000339464,14.36494962,15.04387751,0.035050378,0.043877514,0.014363926,0.015044925,14.36392601,15.04492468,0.036073991,0.044924677,,,,,,,,,,,,,,,,,,
DE,123254,10.6,10.1,11.2,2015,sped,Special Education Child Count,Delaware,DE-Delaware,1306,121948,0.010596005,0.000571617,10.02438754,11.16762246,0.075612464,0.032377541,0.010611258,0.000571812,10.03944576,11.1830698,0.060554238,0.016930198,0.010035497,0.011187235,10.03549744,11.18723453,0.064502558,0.012765465,,,,,,,,,,,,,,,,,,
DC,63880,10.9,10.1,11.7,2015,sped,Special Education Child Count,District of Columbia,DC-District of Columbia,696,63184,0.010895429,0.000805024,10.09040478,11.70045308,0.009595219,0.000453077,0.01092484,0.000805537,10.1193027,11.73037676,0.019302703,0.030376761,0.010111762,0.011738489,10.11176181,11.73848917,0.01176181,0.038489172,,,,,,,,,,,,,,,,,,
FL,2532598,11.2,11.1,11.3,2015,sped,Special Education Child Count,Florida,FL-Florida,28365,2504233,0.011199961,0.000129607,11.07035476,11.32956817,0.02964524,0.029568165,0.011200703,0.000129609,11.07109415,11.3303116,0.028905849,0.030311601,0.011070898,0.01133051,11.07089785,11.33051016,0.029102145,0.030510156,,,,,,,,,,,,,,,,,,
GA,1581764,9.6,9.4,9.7,2015,sped,Special Education Child Count,Georgia,GA-Georgia,15185,1566579,0.009600041,0.000151956,9.448085033,9.751997912,0.048085033,0.051997912,0.009601232,0.000151961,9.449271529,9.753193373,0.049271529,0.053193373,0.009448958,0.009753512,9.448957904,9.753511953,0.048957904,0.053511953,,,,,,,,,,,,,,,,,,
HI,165143,7.8,7.4,8.3,2015,sped,Special Education Child Count,Hawaii,HI-Hawaii,1288,163855,0.007799301,0.000424273,7.375027995,8.223574429,0.024972005,0.076425571,0.00781075,0.000424423,7.386327495,8.235172959,0.013672505,0.064827041,0.007383382,0.008238282,7.383381566,8.238282231,0.016618434,0.061717769,,,,,,,,,,,,,,,,,,
ID,268654,9.1,8.7,9.4,2015,sped,Special Education Child Count,Idaho,ID-Idaho,2445,266209,0.009100925,0.000359095,8.741830714,9.460019994,0.041830714,0.060019994,0.009107945,0.000359161,8.748783905,9.467105243,0.048783905,0.067105243,0.008746959,0.009469003,8.746959176,9.469002717,0.046959176,0.069002717,,,,,,,,,,,,,,,,,,
IL,1818262,10.4,10.3,10.6,2015,sped,Special Education Child Count,Illinois,IL-Illinois,18910,1799352,0.010400041,0.000147458,10.25258374,10.54749898,0.047416264,0.052501019,0.010401076,0.000147461,10.25361464,10.54853683,0.046385356,0.051463167,0.010253342,0.010548814,10.25334159,10.54881375,0.046658415,0.051186251,,,,,,,,,,,,,,,,,,
IN,950202,13.7,13.5,14,2015,sped,Special Education Child Count,Indiana,IN-Indiana,13018,937184,0.013700245,0.000233727,13.46651786,13.93397172,0.033482136,0.066028284,0.013702211,0.000233735,13.46847606,13.93594551,0.031523936,0.064054493,0.013467954,0.013936476,13.46795429,13.93647614,0.032045712,0.063523865,,,,,,,,,,,,,,,,,,
IA,439825,1.4,1.3,1.5,2015,sped,Special Education Child Count,Iowa,IA-Iowa,616,439209,0.001400557,0.000110523,1.29003365,1.511080429,0.00996635,0.011080429,0.001404912,0.000110609,1.294303135,1.515520466,0.005696865,0.015520466,0.001293211,0.001516702,1.293211095,1.516702019,0.006788905,0.016702019,,,,,,,,,,,,,,,,,,
KS,435155,7.7,7.4,7.9,2015,sped,Special Education Child Count,Kansas,KS-Kansas,3351,431804,0.007700704,0.000259724,7.440979996,7.960428697,0.040979996,0.060428697,0.00770505,0.00025976,7.445290665,7.964809786,0.045290665,0.064809786,0.007444161,0.007965978,7.444160883,7.965978014,0.044160883,0.065978014,,,,,,,,,,,,,,,,,,
KY,609496,8.7,8.4,8.9,2015,sped,Special Education Child Count,Kentucky,KY-Kentucky,5303,604193,0.008700631,0.000233153,8.467478636,8.933784047,0.067478636,0.033784047,0.008703728,0.000233173,8.470555293,8.936900357,0.070555293,0.036900357,0.008469746,0.008937732,8.469745842,8.937731596,0.069745842,0.037731596,,,,,,,,,,,,,,,,,,
LA,636551,6.7,6.5,6.9,2015,sped,Special Education Child Count,Louisiana,LA-Louisiana,4265,632286,0.00670017,0.000200408,6.499762352,6.900577919,0.000237648,0.000577919,0.006703147,0.000200429,6.502717796,6.903576372,0.002717796,0.003576372,0.006501944,0.006904374,6.501943985,6.904373517,0.001943985,0.004373517,,,,,,,,,,,,,,,,,,
ME,163382,16,15.4,16.6,2015,sped,Special Education Child Count,Maine,ME-Maine,2614,160768,0.015999314,0.000608407,15.39090725,16.60772173,0.009092752,0.007721732,0.016010694,0.000608507,15.40218761,16.61920061,0.002187606,0.019200613,0.015399185,0.016622318,15.3991846,16.62231808,0.000815403,0.02231808,,,,,,,,,,,,,,,,,,
MD,783637,11.6,11.4,11.9,2015,sped,Special Education Child Count,Maryland,MD-Maryland,9090,774547,0.011599759,0.000237073,11.36268588,11.83683125,0.037314125,0.063168752,0.011602153,0.000237084,11.36506854,11.83923693,0.034931462,0.060763074,0.011364437,0.011839881,11.36443693,11.83988142,0.035563066,0.060118584,,,,,,,,,,,,,,,,,,
MA,866134,16.2,16,16.5,2015,sped,Special Education Child Count,Massachusetts,MA-Massachusetts,14031,852103,0.016199572,0.000265865,15.9337071,16.46543668,0.066292896,0.034563322,0.016201718,0.000265873,15.93584477,16.46759048,0.064155234,0.032409522,0.015935272,0.016468172,15.93527215,16.46817241,0.06472785,0.031827587,,,,,,,,,,,,,,,,,,
MI,1370222,10.8,10.6,11,2015,sped,Special Education Child Count,Michigan,MI-Michigan,14798,1355424,0.01079971,0.000173062,10.6266482,10.97277146,0.0266482,0.027228544,0.010801081,0.000173067,10.62801449,10.97414813,0.028014493,0.025851869,0.010627652,0.010974516,10.62765248,10.97451593,0.027652481,0.025484074,,,,,,,,,,,,,,,,,,
MN,785350,18.8,18.5,19.1,2015,sped,Special Education Child Count,Minnesota,MN-Minnesota,14765,770585,0.018800535,0.000300386,18.50014843,19.10092116,0.000148425,0.000921162,0.018802889,0.000300395,18.50249366,19.10328337,0.002493665,0.003283374,0.018501862,0.019103925,18.501862,19.10392502,0.001861998,0.003925019,,,,,,,,,,,,,,,,,,
MS,436866,8.6,8.3,8.9,2015,sped,Special Education Child Count,Mississippi,MS-Mississippi,3757,433109,0.008599891,0.000273807,8.326083805,8.87369828,0.026083805,0.02630172,0.008604212,0.00027384,8.330371867,8.878052119,0.030371867,0.021947881,0.008329245,0.008879215,8.329245421,8.879214684,0.029245421,0.020785316,,,,,,,,,,,,,,,,,,
MO,818748,11.6,11.4,11.9,2015,sped,Special Education Child Count,Missouri,MO-Missouri,9497,809251,0.011599418,0.00023193,11.36748731,11.83134798,0.032512687,0.068652018,0.011601709,0.000231941,11.36976804,11.83365026,0.030231962,0.066349741,0.011369163,0.011834267,11.36916339,11.83426698,0.030836614,0.065733022,,,,,,,,,,,,,,,,,,
MT,132659,4.9,4.6,5.3,2015,sped,Special Education Child Count,Montana,MT-Montana,650,132009,0.004899781,0.000375752,4.524028502,5.275532779,0.075971498,0.024467221,0.004914117,0.00037602,4.53809694,5.290137134,0.06190306,0.009862866,0.004534472,0.00529405,4.534471713,5.294049757,0.065528287,0.005950243,,,,,,,,,,,,,,,,,,
NE,276975,10.1,9.8,10.5,2015,sped,Special Education Child Count,Nebraska,NE-Nebraska,2797,274178,0.010098384,0.000372349,9.726035693,10.47073297,0.073964307,0.029267031,0.010105179,0.000372408,9.732770802,10.47758689,0.067229198,0.022413111,0.009730999,0.010479425,9.730998547,10.47942502,0.069001453,0.020574985,,,,,,,,,,,,,,,,,,
NV,426638,11.8,11.5,12.2,2015,sped,Special Education Child Count,Nevada,NV-Nevada,5034,421604,0.01179923,0.000324017,11.47521329,12.12324723,0.024786709,0.07675277,0.011803626,0.000324045,11.47958067,12.12767132,0.020419334,0.072328681,0.011478425,0.012128859,11.47842462,12.12885916,0.021575379,0.07114084,,,,,,,,,,,,,,,,,,
NH,167477,13.2,12.6,13.7,2015,sped,Special Education Child Count,New Hampshire,NH-New Hampshire,2211,165266,0.013201813,0.00054664,12.65517272,13.74845285,0.055172719,0.048452853,0.013212978,0.000546748,12.66623051,13.75972615,0.066230513,0.059726153,0.012663306,0.013762773,12.66330607,13.76277253,0.063306068,0.062772533,,,,,,,,,,,,,,,,,,
NJ,1192233,13.4,13.2,13.6,2015,sped,Special Education Child Count,New Jersey,NJ-New Jersey,15976,1176257,0.013400065,0.000206391,13.19367389,13.60645662,0.006326108,0.006456619,0.013401633,0.000206397,13.19523612,13.6080301,0.004763876,0.008030096,0.01319482,0.013608453,13.19481993,13.60845266,0.00518007,0.008452661,,,,,,,,,,,,,,,,,,
NM,302489,7.8,7.5,8.1,2015,sped,Special Education Child Count,New Mexico,NM-New Mexico,2359,300130,0.007798631,0.000313475,7.485156073,8.112105315,0.014843927,0.012105315,0.007804881,0.000313535,7.491346382,8.118416269,0.008653618,0.018416269,0.007489726,0.008120102,7.489726405,8.120102152,0.010273595,0.020102152,,,,,,,,,,,,,,,,,,
NY,2421417,11.8,11.6,11.9,2015,sped,Special Education Child Count,New York,NY-New York,28573,2392844,0.011800115,0.000136013,11.66410289,11.93612789,0.064102887,0.036127887,0.01180089,0.000136015,11.66487529,11.93690449,0.064875293,0.036904488,0.01166467,0.011937112,11.66466998,11.93711215,0.064669979,0.037112154,,,,,,,,,,,,,,,,,,
NC,1408521,10.6,10.4,10.8,2015,sped,Special Education Child Count,North Carolina,NC-North Carolina,14930,1393591,0.010599771,0.000169122,10.43064875,10.76889319,0.030648745,0.031106814,0.010601106,0.000169127,10.43197845,10.77023296,0.031978446,0.02976704,0.010431626,0.010770591,10.43162627,10.77059074,0.031626266,0.029409258,,,,,,,,,,,,,,,,,,
ND,97502,8.7,8.1,9.3,2015,sped,Special Education Child Count,North Dakota,ND-North Dakota,848,96654,0.008697257,0.000582822,8.114435881,9.280079103,0.014435881,0.019920897,0.008716613,0.000583131,8.133481992,9.299744914,0.033481992,0.000255086,0.008128524,0.009305043,8.128524331,9.305042997,0.028524331,0.005042997,,,,,,,,,,,,,,,,,,
OH,1559370,11.7,11.6,11.9,2015,sped,Special Education Child Count,Ohio,OH-Ohio,18245,1541125,0.011700238,0.000168778,11.53146017,11.86901567,0.068539834,0.030984332,0.011701441,0.000168782,11.53265899,11.87022265,0.067341005,0.029777346,0.011532341,0.011870546,11.53234064,11.87054558,0.067659361,0.029454419,,,,,,,,,,,,,,,,,,
