"State","Denominator","Prevalence","Lower.CI","Upper.CI","Year","Source","Source_Full1","State_Full1","State_Full2","Numerator_ASD","Numerator_NonASD","Proportion","Chi_Wilson_Corrected_Lower.CI","Chi_Wilson_Corrected_Upper.CI","Male.Prevalence","Male.Lower.CI","Male.Upper.CI","Female.Prevalence","Female.Lower.CI","Female.Upper.CI","Non.hispanic.white.Prevalence","Non.hispanic.white.Lower.CI","Non.hispanic.white.Upper.CI","Non.hispanic.black.Prevalence","Non.hispanic.black.Lower.CI","Non.hispanic.black.Upper.CI","Hispanic.Prevalence","Hispanic.Lower.CI","Hispanic.Upper.CI","Asian.or.Pacific.Islander.Prevalence","Asian.or.Pacific.Islander.Lower.CI","Asian.or.Pacific.Islander.Upper.CI","Source_UC","Source_Full3","Prevalence_Risk2","Prevalence_Risk4","Year_Factor"
"NJ",1191399,11.9,11.7,12.1,2013,"sped","Special Education Child Count","New Jersey","NJ-New Jersey",14178,1177221,0.011900295,11.70673213,12.09701296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2013"
"NM",304011,6.4,6.1,6.6,2013,"sped","Special Education Child Count","New Mexico","NM-New Mexico",1946,302065,0.006401084,6.122157171,6.692557518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"NY",2427327,10.1,10,10.2,2013,"sped","Special Education Child Count","New York","NY-New York",24516,2402811,0.010099999,9.974778881,10.22677205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2013"
"NC",1377670,9.4,9.2,9.5,2013,"sped","Special Education Child Count","North Carolina","NC-North Carolina",12950,1364720,0.009399929,9.239797494,9.562802344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"ND",93071,7.4,6.8,7.9,2013,"sped","Special Education Child Count","North Dakota","ND-North Dakota",689,92382,0.00740295,6.867025019,7.979933941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"OH",1564631,10.7,10.5,10.8,2013,"sped","Special Education Child Count","Ohio","OH-Ohio",16742,1547889,0.010700287,10.539952,10.86302844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2013"
"OK",582209,6.8,6.6,7,2013,"sped","Special Education Child Count","Oklahoma","OK-Oklahoma",3959,578250,0.006799964,6.591251658,7.015210289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"OR",524370,14.1,13.8,14.4,2013,"sped","Special Education Child Count","Oregon","OR-Oregon",7394,516976,0.01410073,13.78419945,14.42440182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2013"
"PA",1617377,14,13.8,14.2,2013,"sped","Special Education Child Count","Pennsylvania","PA-Pennsylvania",22643,1594734,0.013999828,13.81960353,14.18236525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2013"
"RI",129276,14,13.4,14.7,2013,"sped","Special Education Child Count","Rhode Island","RI-Rhode Island",1810,127466,0.014001052,13.37107633,14.66008429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2013"
"SC",663136,7.1,6.9,7.3,2013,"sped","Special Education Child Count","South Carolina","SC-South Carolina",4708,658428,0.007099599,6.899615001,7.305315842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"SD",116127,6.1,5.7,6.6,2013,"sped","Special Education Child Count","South Dakota","SD-South Dakota",708,115419,0.006096773,5.660955025,6.565581082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"TN",889199,7.5,7.3,7.7,2013,"sped","Special Education Child Count","Tennessee","TN-Tennessee",6669,882530,0.007500008,7.322241616,7.682043908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"TX",4513821,8.3,8.2,8.4,2013,"sped","Special Education Child Count","Texas","TX-Texas",37465,4476356,0.008300063,8.216674126,8.384290486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"UT",562702,7.5,7.3,7.7,2013,"sped","Special Education Child Count","Utah","UT-Utah",4220,558482,0.007499529,7.276572264,7.729236723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"VT",76808,10.9,10.2,11.7,2013,"sped","Special Education Child Count","Vermont","VT-Vermont",837,75971,0.010897302,10.18086334,11.66309619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2013"
"VA",1144601,11.7,11.5,11.9,2013,"sped","Special Education Child Count","Virginia","VA-Virginia",13392,1131209,0.011700147,11.5043485,11.89923045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2013"
"WA",965420,9.4,9.2,9.6,2013,"sped","Special Education Child Count","Washington","WA-Washington",9075,956345,0.009400054,9.208995539,9.595026922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"WV",243945,6.4,6.1,6.7,2013,"sped","Special Education Child Count","West Virginia","WV-West Virginia",1561,242384,0.006398983,6.088244083,6.725368794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"WI",756115,11.5,11.3,11.8,2013,"sped","Special Education Child Count","Wisconsin","WI-Wisconsin",8695,747420,0.011499573,11.26107223,11.74305204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2013"
"WY",84077,8.6,8,9.2,2013,"sped","Special Education Child Count","Wyoming","WY-Wyoming",723,83354,0.00859926,7.991473851,9.252376041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2013"
"AL",675149,8.1,7.9,8.3,2014,"sped","Special Education Child Count","Alabama","AL-Alabama",5469,669680,0.008100434,7.888670262,8.317814959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"AK",117543,8.5,8,9.1,2014,"sped","Special Education Child Count","Alaska","AK-Alaska",999,116544,0.008499017,7.985935027,9.044484742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"AZ",1019375,9.3,9.1,9.5,2014,"sped","Special Education Child Count","Arizona","AZ-Arizona",9480,1009895,0.009299816,9.114837942,9.48850226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"AR",437275,8.3,8,8.6,2014,"sped","Special Education Child Count","Arkansas","AR-Arkansas",3629,433646,0.008299125,8.033394612,8.573531754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"CA",5717500,12,11.9,12.1,2014,"sped","Special Education Child Count","California","CA-California",68610,5648890,0.012,11.91098897,12.08966743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"CO",791275,6.2,6.1,6.4,2014,"sped","Special Education Child Count","Colorado","CO-Colorado",4906,786369,0.00620012,6.028922704,6.376129478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"CT",487037,13.9,13.6,14.2,2014,"sped","Special Education Child Count","Connecticut","CT-Connecticut",6770,480267,0.013900381,13.57437277,14.23408181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"DE",122317,9.3,8.8,9.9,2014,"sped","Special Education Child Count","Delaware","DE-Delaware",1138,121179,0.009303694,8.776896672,9.861546806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"DC",60718,10.2,9.4,11,2014,"sped","Special Education Child Count","District of Columbia","DC-District of Columbia",619,60099,0.01019467,9.418159142,11.03379328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"FL",2493779,10.2,10.1,10.4,2014,"sped","Special Education Child Count","Florida","FL-Florida",25437,2468342,0.010200182,10.07602645,10.32584923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"GA",1564671,8.9,8.7,9,2014,"sped","Special Education Child Count","Georgia","GA-Georgia",13926,1550745,0.008900274,8.753995192,9.048968666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"HI",168899,7.3,6.9,7.7,2014,"sped","Special Education Child Count","Hawaii","HI-Hawaii",1233,167666,0.007300221,6.902411585,7.720604989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"ID",266586,8.5,8.1,8.8,2014,"sped","Special Education Child Count","Idaho","ID-Idaho",2266,264320,0.008500071,8.156759346,8.857624072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"IL",1831161,9.8,9.7,10,2014,"sped","Special Education Child Count","Illinois","IL-Illinois",17945,1813216,0.009799794,9.657870125,9.943777883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"IN",949973,13.3,13.1,13.6,2014,"sped","Special Education Child Count","Indiana","IN-Indiana",12635,937338,0.013300378,13.07145109,13.5332501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"IA",436504,1.4,1.3,1.5,2014,"sped","Special Education Child Count","Iowa","IA-Iowa",611,435893,0.001399758,1.292048108,1.516334409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2014"
"KS",434554,7.3,7,7.6,2014,"sped","Special Education Child Count","Kansas","KS-Kansas",3172,431382,0.007299438,7.049533371,7.558093185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"KY",608929,8,7.7,8.2,2014,"sped","Special Education Child Count","Kentucky","KY-Kentucky",4871,604058,0.007999291,7.777822337,8.22698914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"LA",632481,6.1,5.9,6.3,2014,"sped","Special Education Child Count","Louisiana","LA-Louisiana",3858,628623,0.006099788,5.910096351,6.29550382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"ME",164158,15.2,14.6,15.8,2014,"sped","Special Education Child Count","Maine","ME-Maine",2495,161663,0.015198772,14.61519915,15.80515055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"MD",777929,11.3,11.1,11.6,2014,"sped","Special Education Child Count","Maryland","MD-Maryland",8791,769138,0.011300517,11.06739518,11.53847874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"MA",858611,15.5,15.2,15.7,2014,"sped","Special Education Child Count","Massachusetts","MA-Massachusetts",13308,845303,0.015499452,15.23974785,15.76350119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"MI",1383880,10.3,10.1,10.5,2014,"sped","Special Education Child Count","Michigan","MI-Michigan",14254,1369626,0.010300026,10.13280473,10.4699718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"MN",777804,18.4,18.1,18.7,2014,"sped","Special Education Child Count","Minnesota","MN-Minnesota",14312,763492,0.018400522,18.10358208,18.70223022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"MS",438190,7.9,7.7,8.2,2014,"sped","Special Education Child Count","Mississippi","MS-Mississippi",3462,434728,0.007900682,7.641703719,8.168326588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"MO",817879,10.8,10.6,11.1,2014,"sped","Special Education Child Count","Missouri","MO-Missouri",8833,809046,0.010799886,10.5775637,11.02681632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"MT",131621,4.4,4,4.8,2014,"sped","Special Education Child Count","Montana","MT-Montana",579,131042,0.004398994,4.052002106,4.775221309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2014"
"NE",273431,9.5,9.1,9.8,2014,"sped","Special Education Child Count","Nebraska","NE-Nebraska",2598,270833,0.009501483,9.142898078,9.87391916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"NV",419082,11.1,10.8,11.4,2014,"sped","Special Education Child Count","Nevada","NV-Nevada",4652,414430,0.011100453,10.78651921,11.42338306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"NH",169433,12.3,11.7,12.8,2014,"sped","Special Education Child Count","New Hampshire","NH-New Hampshire",2084,167349,0.012299847,11.78308356,12.83884923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"NJ",1194487,12.7,12.5,12.9,2014,"sped","Special Education Child Count","New Jersey","NJ-New Jersey",15170,1179317,0.012700013,12.50034928,12.90281683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"NM",305701,6.8,6.5,7.1,2014,"sped","Special Education Child Count","New Mexico","NM-New Mexico",2079,303622,0.006800763,6.51395779,7.100032446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"NY",2435476,10.9,10.8,11,2014,"sped","Special Education Child Count","New York","NY-New York",26547,2408929,0.010900128,10.7702888,11.03151242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"NC",1396051,10,9.8,10.2,2014,"sped","Special Education Child Count","North Carolina","NC-North Carolina",13961,1382090,0.010000351,9.836286109,10.16711834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"ND",95492,8.3,7.7,8.9,2014,"sped","Special Education Child Count","North Dakota","ND-North Dakota",793,94699,0.008304361,7.743173998,8.905465134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"OH",1564662,11.2,11.1,11.4,2014,"sped","Special Education Child Count","Ohio","OH-Ohio",17524,1547138,0.011199863,11.03585008,11.36628065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"OK",589376,7.5,7.3,7.7,2014,"sped","Special Education Child Count","Oklahoma","OK-Oklahoma",4420,584956,0.007499457,7.281550178,7.723808691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"OR",529212,14.5,14.2,14.8,2014,"sped","Special Education Child Count","Oregon","OR-Oregon",7674,521538,0.014500805,14.18130122,14.82737766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"PA",1607656,15,14.8,15.1,2014,"sped","Special Education Child Count","Pennsylvania","PA-Pennsylvania",24115,1583541,0.0150001,14.81305034,15.18947033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"RI",129705,14.4,13.8,15.1,2014,"sped","Special Education Child Count","Rhode Island","RI-Rhode Island",1868,127837,0.014401912,13.76399415,15.06876384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"SC",673967,8,7.8,8.2,2014,"sped","Special Education Child Count","South Carolina","SC-South Carolina",5392,668575,0.008000392,7.789759399,8.216652124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"SD",118485,6.6,6.2,7.1,2014,"sped","Special Education Child Count","South Dakota","SD-South Dakota",782,117703,0.006599992,6.150592114,7.081676125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"TN",894603,8.1,7.9,8.2,2014,"sped","Special Education Child Count","Tennessee","TN-Tennessee",7246,887357,0.008099682,7.915492208,8.288109372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"TX",4601387,8.9,8.9,9,2014,"sped","Special Education Child Count","Texas","TX-Texas",40952,4560435,0.008899925,8.814412576,8.986258799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"UT",573594,7.9,7.6,8.1,2014,"sped","Special Education Child Count","Utah","UT-Utah",4531,569063,0.007899316,7.672632647,8.132614841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"VT",75559,11.3,10.6,12.1,2014,"sped","Special Education Child Count","Vermont","VT-Vermont",854,74705,0.011302426,10.56673939,12.08823718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"VA",1153689,12.5,12.3,12.7,2014,"sped","Special Education Child Count","Virginia","VA-Virginia",14421,1139268,0.012499902,12.2983561,12.70470228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"WA",979763,9.9,9.7,10.1,2014,"sped","Special Education Child Count","Washington","WA-Washington",9700,970063,0.009900353,9.705717206,10.09884286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"WV",244197,6.7,6.4,7.1,2014,"sped","Special Education Child Count","West Virginia","WV-West Virginia",1636,242561,0.006699509,6.381631323,7.033004828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2014"
"WI",755177,12.2,11.9,12.4,2014,"sped","Special Education Child Count","Wisconsin","WI-Wisconsin",9213,745964,0.012199789,11.95401225,12.45054156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2014"
"AL",674946,8.6,8.4,8.8,2015,"sped","Special Education Child Count","Alabama","AL-Alabama",5805,669141,0.008600688,8.382441404,8.824547086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2015"
"AK",118699,9.4,8.8,9.9,2015,"sped","Special Education Child Count","Alaska","AK-Alaska",1116,117583,0.009401933,8.864486245,9.971375967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2015"
"AZ",1020723,9.8,9.6,10,2015,"sped","Special Education Child Count","Arizona","AZ-Arizona",10003,1010720,0.009799916,9.610164825,9.993366992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2015"
"AR",438292,8.9,8.7,9.2,2015,"sped","Special Education Child Count","Arkansas","AR-Arkansas",3901,434391,0.008900459,8.625552806,9.184009135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2015"
"CA",5689474,12.9,12.8,13,2015,"sped","Special Education Child Count","California","CA-California",73394,5616080,0.012899962,12.80748018,12.99310277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2015"
"CO",802257,6.8,6.6,7,2015,"sped","Special Education Child Count","Colorado","CO-Colorado",5455,796802,0.006799567,6.621473041,6.982399947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2015"
"CT",482907,14.7,14.4,15,2015,"sped","Special Education Child Count","Connecticut","CT-Connecticut",7099,475808,0.014700553,14.36392601,15.04492468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2015"
"DE",123254,10.6,10.1,11.2,2015,"sped","Special Education Child Count","Delaware","DE-Delaware",1306,121948,0.010596005,10.03549744,11.18723453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2015"
"DC",63880,10.9,10.1,11.7,2015,"sped","Special Education Child Count","District of Columbia","DC-District of Columbia",696,63184,0.010895429,10.11176181,11.73848917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2015"
"FL",2532598,11.2,11.1,11.3,2015,"sped","Special Education Child Count","Florida","FL-Florida",28365,2504233,0.011199961,11.07089785,11.33051016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2015"
"GA",1581764,9.6,9.4,9.7,2015,"sped","Special Education Child Count","Georgia","GA-Georgia",15185,1566579,0.009600041,9.448957904,9.753511953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2015"
"HI",165143,7.8,7.4,8.3,2015,"sped","Special Education Child Count","Hawaii","HI-Hawaii",1288,163855,0.007799301,7.383381566,8.238282231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2015"
"ID",268654,9.1,8.7,9.4,2015,"sped","Special Education Child Count","Idaho","ID-Idaho",2445,266209,0.009100925,8.746959176,9.469002717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2015"
"IL",1818262,10.4,10.3,10.6,2015,"sped","Special Education Child Count","Illinois","IL-Illinois",18910,1799352,0.010400041,10.25334159,10.54881375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2015"
"IN",950202,13.7,13.5,14,2015,"sped","Special Education Child Count","Indiana","IN-Indiana",13018,937184,0.013700245,13.46795429,13.93647614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","High","2015"
"IA",439825,1.4,1.3,1.5,2015,"sped","Special Education Child Count","Iowa","IA-Iowa",616,439209,0.001400557,1.293211095,1.516702019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","Low","Low","2015"
"KS",435155,7.7,7.4,7.9,2015,"sped","Special Education Child Count","Kansas","KS-Kansas",3351,431804,0.007700704,7.444160883,7.965978014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPED","SPED Special Education Child Count","High","Medium","2015"
